time;P_pv_[kW]
2021-11-02 06:45:00+00:00;0.0080075
2021-11-02 07:00:00+00:00;0.0075725
2021-11-02 07:15:00+00:00;0.009305
2021-11-02 07:30:00+00:00;0.0142825
2021-11-02 07:45:00+00:00;0.02034
2021-11-02 08:00:00+00:00;0.017095
2021-11-02 08:15:00+00:00;0.0222875
2021-11-02 08:30:00+00:00;0.04133
2021-11-02 08:45:00+00:00;0.059075
2021-11-02 09:00:00+00:00;0.05508
2021-11-02 09:15:00+00:00;0.0576875
2021-11-02 09:30:00+00:00;0.0839175
2021-11-02 09:45:00+00:00;0.1651425
2021-11-02 10:00:00+00:00;0.14479
2021-11-02 10:15:00+00:00;0.178905
2021-11-02 10:30:00+00:00;0.1693175
2021-11-02 10:45:00+00:00;0.0732325
2021-11-02 11:00:00+00:00;0.1383875
2021-11-02 11:15:00+00:00;0.219405
2021-11-02 11:30:00+00:00;0.151065
2021-11-02 11:45:00+00:00;0.29998
2021-11-02 12:00:00+00:00;0.242255
2021-11-02 12:15:00+00:00;0.07461
2021-11-02 12:30:00+00:00;0.11422
2021-11-02 12:45:00+00:00;0.1160625
2021-11-02 13:00:00+00:00;0.2573
2021-11-02 13:15:00+00:00;0.33099
2021-11-02 13:30:00+00:00;0.2637475
2021-11-02 13:45:00+00:00;0.245325
2021-11-02 14:00:00+00:00;0.209095
2021-11-02 14:15:00+00:00;0.1476875
2021-11-02 14:30:00+00:00;0.1575125
2021-11-02 14:45:00+00:00;0.1145275
2021-11-02 15:00:00+00:00;0.06233
2021-11-02 15:15:00+00:00;0.0303975
2021-11-02 15:30:00+00:00;0.018115
2021-11-02 15:45:00+00:00;0.0162725
2021-11-02 16:00:00+00:00;0.006755
2021-11-02 16:15:00+00:00;0.0000475
2021-11-02 16:30:00+00:00;0.00003
2021-11-02 16:45:00+00:00;0.00003
2021-11-02 17:00:00+00:00;0.000325
2021-11-02 17:15:00+00:00;0.0008575
2021-11-02 17:30:00+00:00;0.00133
2021-11-02 17:45:00+00:00;0.001595
2021-11-02 18:00:00+00:00;0.00125
2021-11-02 18:15:00+00:00;0.000965
2021-11-02 18:30:00+00:00;0.0014325
2021-11-02 18:45:00+00:00;0.001925
2021-11-02 19:00:00+00:00;0.002165
2021-11-02 19:15:00+00:00;0.00173
2021-11-02 19:30:00+00:00;0.001335
2021-11-02 19:45:00+00:00;0.0013775
2021-11-02 20:00:00+00:00;0.0014175
2021-11-02 20:15:00+00:00;0.0019375
2021-11-02 20:30:00+00:00;0.0019825
2021-11-02 20:45:00+00:00;0.0020225
2021-11-02 21:00:00+00:00;0.0018025
2021-11-02 21:15:00+00:00;0.00236
2021-11-02 21:30:00+00:00;0.0024
2021-11-02 21:45:00+00:00;0.001895
2021-11-02 22:00:00+00:00;0.0021975
2021-11-02 22:15:00+00:00;0.0016725
2021-11-02 22:30:00+00:00;0.00226
2021-11-02 22:45:00+00:00;0.00229
2021-11-02 23:00:00+00:00;0.00261
2021-11-02 23:15:00+00:00;0.00147
2021-11-02 23:30:00+00:00;0.001785
2021-11-02 23:45:00+00:00;0.0018075
2021-11-03 00:00:00+00:00;0.00244
2021-11-03 00:15:00+00:00;0.0018425
2021-11-03 00:30:00+00:00;0.00215
2021-11-03 00:45:00+00:00;0.0027625
2021-11-03 01:00:00+00:00;0.0024575
2021-11-03 01:15:00+00:00;0.0012275
2021-11-03 01:30:00+00:00;0.00092
2021-11-03 01:45:00+00:00;0.001535
2021-11-03 02:00:00+00:00;0.0018425
2021-11-03 02:15:00+00:00;0.0018425
2021-11-03 02:30:00+00:00;0.0018425
2021-11-03 02:45:00+00:00;0.0024575
2021-11-03 03:00:00+00:00;0.0027625
2021-11-03 03:15:00+00:00;0.00215
2021-11-03 03:30:00+00:00;0.00183
2021-11-03 03:45:00+00:00;0.0017775
2021-11-03 04:00:00+00:00;0.00257
2021-11-03 04:15:00+00:00;0.0024475
2021-11-03 04:30:00+00:00;0.001525
2021-11-03 04:45:00+00:00;0.00092
2021-11-03 05:00:00+00:00;0.0011775
2021-11-03 05:15:00+00:00;0.0008675
2021-11-03 05:30:00+00:00;0.0005725
2021-11-03 05:45:00+00:00;0.0005725
2021-11-03 06:00:00+00:00;0.0006675
2021-11-03 06:15:00+00:00;0.003245
2021-11-03 06:30:00+00:00;0.0127675
2021-11-03 06:45:00+00:00;0.027915
2021-11-03 07:00:00+00:00;0.0253175
2021-11-03 07:15:00+00:00;0.0331075
2021-11-03 07:30:00+00:00;0.0618875
2021-11-03 07:45:00+00:00;0.0882875
2021-11-03 08:00:00+00:00;0.1051675
2021-11-03 08:15:00+00:00;0.09651
2021-11-03 08:30:00+00:00;0.1759275
2021-11-03 08:45:00+00:00;0.1893425
2021-11-03 09:00:00+00:00;0.2706575
2021-11-03 09:15:00+00:00;0.2851075
2021-11-03 09:30:00+00:00;0.2356625
2021-11-03 09:45:00+00:00;0.3085975
2021-11-03 10:00:00+00:00;0.246065
2021-11-03 10:15:00+00:00;0.1958775
2021-11-03 10:30:00+00:00;0.12142
2021-11-03 10:45:00+00:00;0.08841
2021-11-03 11:00:00+00:00;0.059095
2021-11-03 11:15:00+00:00;0.05279
2021-11-03 11:30:00+00:00;0.0624325
2021-11-03 11:45:00+00:00;0.06847
2021-11-03 12:00:00+00:00;0.05926
2021-11-03 12:15:00+00:00;0.048205
2021-11-03 12:30:00+00:00;0.0448275
2021-11-03 12:45:00+00:00;0.04974
2021-11-03 13:00:00+00:00;0.042065
2021-11-03 13:15:00+00:00;0.0494325
2021-11-03 13:30:00+00:00;0.04053
2021-11-03 13:45:00+00:00;0.0325475
2021-11-03 14:00:00+00:00;0.03746
2021-11-03 14:15:00+00:00;0.0282475
2021-11-03 14:30:00+00:00;0.026405
2021-11-03 14:45:00+00:00;0.0190375
2021-11-03 15:00:00+00:00;0.0178075
2021-11-03 15:15:00+00:00;0.0110525
2021-11-03 15:30:00+00:00;0.0070625
2021-11-03 15:45:00+00:00;0.0039925
2021-11-03 16:00:00+00:00;0.0027625
2021-11-03 16:15:00+00:00;0.000035
2021-11-03 16:30:00+00:00;0.00003
2021-11-03 16:45:00+00:00;0.00003
2021-11-03 17:00:00+00:00;0.0002225
2021-11-03 17:15:00+00:00;0.00057
2021-11-03 17:30:00+00:00;0.0007925
2021-11-03 17:45:00+00:00;0.00095
2021-11-03 18:00:00+00:00;0.001065
2021-11-03 18:15:00+00:00;0.0011525
2021-11-03 18:30:00+00:00;0.00122
2021-11-03 18:45:00+00:00;0.001275
2021-11-03 19:00:00+00:00;0.0012975
2021-11-03 19:15:00+00:00;0.0012975
2021-11-03 19:30:00+00:00;0.0013375
2021-11-03 19:45:00+00:00;0.00138
2021-11-03 20:00:00+00:00;0.00142
2021-11-03 20:15:00+00:00;0.001455
2021-11-03 20:30:00+00:00;0.0014875
2021-11-03 20:45:00+00:00;0.0015175
2021-11-03 21:00:00+00:00;0.0015475
2021-11-03 21:15:00+00:00;0.001575
2021-11-03 21:30:00+00:00;0.0016
2021-11-03 21:45:00+00:00;0.001625
2021-11-03 22:00:00+00:00;0.00165
2021-11-03 22:15:00+00:00;0.0016725
2021-11-03 22:30:00+00:00;0.001695
2021-11-03 22:45:00+00:00;0.0017175
2021-11-03 23:00:00+00:00;0.00174
2021-11-03 23:15:00+00:00;0.0017625
2021-11-03 23:30:00+00:00;0.0026775
2021-11-03 23:45:00+00:00;0.0027125
2021-11-04 00:00:00+00:00;0.00183
2021-11-04 00:15:00+00:00;0.0018425
2021-11-04 00:30:00+00:00;0.0018425
2021-11-04 00:45:00+00:00;0.0018425
2021-11-04 01:00:00+00:00;0.0018425
2021-11-04 01:15:00+00:00;0.0018425
2021-11-04 01:30:00+00:00;0.0018425
2021-11-04 01:45:00+00:00;0.0018425
2021-11-04 02:00:00+00:00;0.0018425
2021-11-04 02:15:00+00:00;0.0018425
2021-11-04 02:30:00+00:00;0.0018425
2021-11-04 02:45:00+00:00;0.0018425
2021-11-04 03:00:00+00:00;0.0018425
2021-11-04 03:15:00+00:00;0.0018425
2021-11-04 03:30:00+00:00;0.001825
2021-11-04 03:45:00+00:00;0.0017725
2021-11-04 04:00:00+00:00;0.0017075
2021-11-04 04:15:00+00:00;0.001625
