time;P_infl_load_[kW]
2021-11-02 09:00:00+00:00;34.092
2021-11-02 09:15:00+00:00;36.388
2021-11-02 09:30:00+00:00;34.984
2021-11-02 09:45:00+00:00;35.236
2021-11-02 10:00:00+00:00;40
2021-11-02 10:15:00+00:00;43.956
2021-11-02 10:30:00+00:00;44.456
2021-11-02 10:45:00+00:00;43.94
2021-11-02 11:00:00+00:00;38.232
2021-11-02 11:15:00+00:00;35.928
2021-11-02 11:30:00+00:00;31.924
2021-11-02 11:45:00+00:00;33.276
2021-11-02 12:00:00+00:00;31.432
2021-11-02 12:15:00+00:00;30.832
2021-11-02 12:30:00+00:00;36.292
2021-11-02 12:45:00+00:00;29.66
2021-11-02 13:00:00+00:00;28.108
2021-11-02 13:15:00+00:00;32.864
2021-11-02 13:30:00+00:00;32.856
2021-11-02 13:45:00+00:00;32.792
2021-11-02 14:00:00+00:00;38.064
2021-11-02 14:15:00+00:00;35.668
2021-11-02 14:30:00+00:00;35.968
2021-11-02 14:45:00+00:00;35.32
2021-11-02 15:00:00+00:00;32.36
2021-11-02 15:15:00+00:00;34.108
2021-11-02 15:30:00+00:00;34.532
2021-11-02 15:45:00+00:00;34.976
2021-11-02 16:00:00+00:00;39.66
2021-11-02 16:15:00+00:00;43.204
2021-11-02 16:30:00+00:00;49.084
2021-11-02 16:45:00+00:00;57.428
2021-11-02 17:00:00+00:00;56.556
2021-11-02 17:15:00+00:00;52.732
2021-11-02 17:30:00+00:00;55.996
2021-11-02 17:45:00+00:00;50.888
2021-11-02 18:00:00+00:00;54.94
2021-11-02 18:15:00+00:00;50.608
2021-11-02 18:30:00+00:00;49.98
2021-11-02 18:45:00+00:00;50.764
2021-11-02 19:00:00+00:00;55.776
2021-11-02 19:15:00+00:00;66.588
2021-11-02 19:30:00+00:00;60.36
2021-11-02 19:45:00+00:00;56.904
2021-11-02 20:00:00+00:00;58.532
2021-11-02 20:15:00+00:00;58.804
2021-11-02 20:30:00+00:00;60.056
2021-11-02 20:45:00+00:00;56.412
2021-11-02 21:00:00+00:00;57.98
2021-11-02 21:15:00+00:00;59.6
2021-11-02 21:30:00+00:00;56.276
2021-11-02 21:45:00+00:00;52.316
2021-11-02 22:00:00+00:00;47.316
2021-11-02 22:15:00+00:00;46.576
2021-11-02 22:30:00+00:00;44.788
2021-11-02 22:45:00+00:00;38.204
2021-11-02 23:00:00+00:00;30.224
2021-11-02 23:15:00+00:00;24.508
2021-11-02 23:30:00+00:00;24.004
2021-11-02 23:45:00+00:00;22.488
2021-11-03 00:00:00+00:00;19.916
2021-11-03 00:15:00+00:00;23.16
2021-11-03 00:30:00+00:00;24.76
2021-11-03 00:45:00+00:00;31.032
2021-11-03 01:00:00+00:00;29.496
2021-11-03 01:15:00+00:00;29.544
2021-11-03 01:30:00+00:00;29.624
2021-11-03 01:45:00+00:00;29.644
2021-11-03 02:00:00+00:00;28.952
2021-11-03 02:15:00+00:00;20.244
2021-11-03 02:30:00+00:00;20.352
2021-11-03 02:45:00+00:00;19.16
2021-11-03 03:00:00+00:00;19.904
2021-11-03 03:15:00+00:00;20.66
2021-11-03 03:30:00+00:00;22.052
2021-11-03 03:45:00+00:00;20.852
2021-11-03 04:00:00+00:00;26.836
2021-11-03 04:15:00+00:00;25.284
2021-11-03 04:30:00+00:00;22.292
2021-11-03 04:45:00+00:00;24.996
2021-11-03 05:00:00+00:00;31.208
2021-11-03 05:15:00+00:00;30.304
2021-11-03 05:30:00+00:00;29.052
2021-11-03 05:45:00+00:00;34.304
2021-11-03 06:00:00+00:00;36.484
2021-11-03 06:15:00+00:00;34.796
2021-11-03 06:30:00+00:00;39.436
2021-11-03 06:45:00+00:00;36.152
2021-11-03 07:00:00+00:00;33.12
2021-11-03 07:15:00+00:00;30.636
2021-11-03 07:30:00+00:00;29.948
2021-11-03 07:45:00+00:00;34.36
2021-11-03 08:00:00+00:00;32.332
2021-11-03 08:15:00+00:00;32.424
2021-11-03 08:30:00+00:00;32.736
2021-11-03 08:45:00+00:00;40.504
2021-11-03 09:00:00+00:00;34.044
2021-11-03 09:15:00+00:00;33.636
2021-11-03 09:30:00+00:00;33.044
2021-11-03 09:45:00+00:00;32.676
2021-11-03 10:00:00+00:00;35.16
2021-11-03 10:15:00+00:00;34.424
2021-11-03 10:30:00+00:00;34.356
2021-11-03 10:45:00+00:00;37.388
2021-11-03 11:00:00+00:00;42.596
